,Subject,Word,Cluster,LE,CCenter,RE
2,JW11,about,C,315.9,302.15,288.4
3,JW11,about,C,343.3,326.1,308.9
4,JW11,about,C,212.8,202.5,192.2
5,JW11,about,C,363.9,346.75,329.6
529,JW11,across,CC,322.7,281.5,240.3
530,JW11,across,CC,501.2,460,418.8
531,JW11,across,CC,638.5,583.6,528.7
532,JW11,across,CC,315.8,264.3,212.8
533,JW11,across,CC,274.6,243.7,212.8
534,JW11,across,CC,425.7,370.75,315.8
535,JW11,across,CC,295.2,254,212.8
6,JW12,about,C,247.2,233.45,219.7
8,JW12,about,C,206,195.7,185.4
10,JW12,about,C,309,291.85,274.7
11,JW12,about,C,288.3,271.15,254
14,JW12,about,C,295.2,281.45,267.7
15,JW12,about,C,178.5,171.65,164.8
19,JW12,about,C,302.1,281.55,261
21,JW12,about,C,309,295.25,281.5
536,JW12,across,CC,302.1,288.4,274.7
537,JW12,across,CC,542.4,494.35,446.3
538,JW12,across,CC,501.2,466.85,432.5
539,JW12,across,CC,466.9,432.6,398.3
540,JW12,across,CC,336.4,302.05,267.7
541,JW12,across,CC,439.4,415.4,391.4
542,JW12,across,CC,350.1,315.8,281.5
543,JW12,across,CC,363.9,329.55,295.2
544,JW12,across,CC,267.8,247.2,226.6
545,JW12,across,CC,315.9,285,254.1
63,JW18,about,C,254,240.3,226.6
65,JW18,about,C,96.1,85.8,75.5
67,JW18,about,C,315.9,298.7,281.5
68,JW18,about,C,322.7,308.95,295.2
71,JW18,about,C,302.1,284.95,267.8
72,JW18,about,C,281.5,260.9,240.3
77,JW18,about,C,322.7,305.55,288.4
78,JW18,about,C,322.7,305.55,288.4
554,JW18,across,CC,192.3,133.9,75.5
555,JW18,across,CC,473.7,446.25,418.8
556,JW18,across,CC,446.3,415.4,384.5
557,JW18,across,CC,460,422.25,384.5
558,JW18,across,CC,398.2,374.15,350.1
559,JW18,across,CC,336.4,302.05,267.7
560,JW18,across,CC,315.8,281.5,247.2
561,JW18,across,CC,254,233.4,212.8
562,JW18,across,CC,295.2,257.45,219.7
82,JW20,about,C,288.4,274.65,260.9
85,JW20,about,C,336.4,322.7,309
86,JW20,about,C,336.5,322.75,309
89,JW20,about,C,309,295.25,281.5
90,JW20,about,C,233.5,219.75,206
94,JW20,about,C,322.7,308.95,295.2
95,JW20,about,C,309,295.25,281.5
563,JW20,across,CC,315.8,281.5,247.2
564,JW20,across,CC,446.2,418.75,391.3
565,JW20,across,CC,556.2,521.85,487.5
566,JW20,across,CC,453.2,422.3,391.4
567,JW20,across,CC,302.1,267.8,233.5
568,JW20,across,CC,425.6,405.05,384.5
569,JW20,across,CC,370.7,332.95,295.2
570,JW20,across,CC,350.2,315.85,281.5
571,JW20,across,CC,343.3,312.4,281.5
572,JW20,across,CC,288.3,264.3,240.3
96,JW21,about,C,254,243.7,233.4
97,JW21,about,C,226.6,212.85,199.1
99,JW21,about,C,329.6,315.85,302.1
100,JW21,about,C,336.4,322.7,309
103,JW21,about,C,363.9,350.15,336.4
104,JW21,about,C,226.6,216.3,206
110,JW21,about,C,398.2,384.5,370.8
112,JW21,about,C,302.1,288.4,274.7
573,JW21,across,CC,480.6,398.2,315.8
574,JW21,across,CC,446.3,394.8,343.3
575,JW21,across,CC,460,384.45,308.9
576,JW21,across,CC,288.4,236.9,185.4
577,JW21,across,CC,494.3,394.75,295.2
578,JW21,across,CC,336.4,291.8,247.2
579,JW21,across,CC,260.9,223.15,185.4
580,JW21,across,CC,260.9,223.15,185.4
121,JW25,about,C,192.2,181.9,171.6
123,JW25,about,C,295.3,281.55,267.8
124,JW25,about,C,302.1,288.35,274.6
125,JW25,about,C,178.5,168.2,157.9
126,JW25,about,C,315.9,302.15,288.4
127,JW25,about,C,329.6,315.85,302.1
591,JW25,across,CC,288.3,250.55,212.8
592,JW25,across,CC,398.3,346.8,295.3
593,JW25,across,CC,412,357.05,302.1
594,JW25,across,CC,267.8,230,192.2
595,JW25,across,CC,432.6,387.95,343.3
596,JW25,across,CC,267.8,233.45,199.1
597,JW25,across,CC,254.1,223.2,192.3
