,Subject,Cluster,Word,LE,CCenter,RE
1,JW11,C,upon,185.4,140.75,96.1
2,JW11,C,about,315.9,302.15,288.4
3,JW11,C,about,343.3,326.1,308.9
4,JW11,C,about,212.8,202.5,192.2
5,JW11,C,about,363.9,346.75,329.6
529,JW11,CC,across,322.7,281.5,240.3
530,JW11,CC,across,501.2,460,418.8
531,JW11,CC,across,638.5,583.6,528.7
532,JW11,CC,across,315.8,264.3,212.8
533,JW11,CC,across,274.6,243.7,212.8
534,JW11,CC,across,425.7,370.75,315.8
535,JW11,CC,across,295.2,254,212.8
771,JW11,CC,respect,315.8,254,192.2
793,JW11,CC,between,247.2,192.25,137.3
794,JW11,CC,between,274.7,178.55,82.4
795,JW11,CC,between,240.3,181.9,123.5
796,JW11,CC,between,212.8,161.3,109.8
797,JW11,CC,between,247.2,192.3,137.4
798,JW11,CC,between,247.2,178.55,109.9
6,JW12,C,about,247.2,233.45,219.7
7,JW12,C,upon,192.2,181.9,171.6
8,JW12,C,about,206,195.7,185.4
9,JW12,C,upon,171.7,161.4,151.1
10,JW12,C,about,309,291.85,274.7
11,JW12,C,about,288.3,271.15,254
12,JW12,C,before,205.9,192.2,178.5
13,JW12,C,before,315.8,284.9,254
14,JW12,C,about,295.2,281.45,267.7
15,JW12,C,about,178.5,171.65,164.8
16,JW12,C,before,281.5,267.75,254
17,JW12,C,before,137.4,116.8,96.2
18,JW12,C,against,274.6,260.9,247.2
19,JW12,C,about,302.1,281.55,261
20,JW12,C,before,295.2,278.05,260.9
21,JW12,C,about,309,295.25,281.5
536,JW12,CC,across,302.1,288.4,274.7
537,JW12,CC,across,542.4,494.35,446.3
538,JW12,CC,across,501.2,466.85,432.5
539,JW12,CC,across,466.9,432.6,398.3
540,JW12,CC,across,336.4,302.05,267.7
541,JW12,CC,across,439.4,415.4,391.4
542,JW12,CC,across,350.1,315.8,281.5
543,JW12,CC,across,363.9,329.55,295.2
544,JW12,CC,across,267.8,247.2,226.6
545,JW12,CC,across,315.9,285,254.1
799,JW12,CC,between,260.9,212.85,164.8
800,JW12,CC,between,439.5,350.25,261
801,JW12,CC,between,281.5,223.15,164.8
802,JW12,CC,between,343.3,278.05,212.8
803,JW12,CC,between,315.9,250.65,185.4
804,JW12,CC,between,309,247.2,185.4
22,JW13,C,upon,206,192.25,178.5
23,JW13,C,upon,192.2,181.95,171.7
24,JW13,C,before,171.6,157.9,144.2
25,JW13,C,before,480.7,460.1,439.5
26,JW13,C,before,219.7,202.5,185.3
27,JW13,C,before,192.3,175.1,157.9
