,Word,Subject,Cluster,LE,CCenter,RE
2,about,JW11,C,315.9,302.15,288.4
3,about,JW11,C,343.3,326.1,308.9
4,about,JW11,C,212.8,202.5,192.2
5,about,JW11,C,363.9,346.75,329.6
6,about,JW12,C,247.2,233.45,219.7
8,about,JW12,C,206,195.7,185.4
10,about,JW12,C,309,291.85,274.7
11,about,JW12,C,288.3,271.15,254
14,about,JW12,C,295.2,281.45,267.7
15,about,JW12,C,178.5,171.65,164.8
19,about,JW12,C,302.1,281.55,261
21,about,JW12,C,309,295.25,281.5
39,about,JW15,C,206,195.7,185.4
44,about,JW15,C,350.2,336.45,322.7
45,about,JW15,C,178.5,171.65,164.8
51,about,JW15,C,336.4,322.65,308.9
52,about,JW15,C,336.4,319.25,302.1
53,about,JW16,C,247.2,233.45,219.7
54,about,JW16,C,240.3,230,219.7
56,about,JW16,C,315.9,302.15,288.4
57,about,JW16,C,343.3,329.6,315.9
58,about,JW16,C,336.4,322.65,308.9
59,about,JW16,C,219.7,209.4,199.1
61,about,JW16,C,329.6,315.85,302.1
62,about,JW16,C,315.9,302.15,288.4
63,about,JW18,C,254,240.3,226.6
65,about,JW18,C,96.1,85.8,75.5
67,about,JW18,C,315.9,298.7,281.5
68,about,JW18,C,322.7,308.95,295.2
71,about,JW18,C,302.1,284.95,267.8
72,about,JW18,C,281.5,260.9,240.3
77,about,JW18,C,322.7,305.55,288.4
78,about,JW18,C,322.7,305.55,288.4
82,about,JW20,C,288.4,274.65,260.9
85,about,JW20,C,336.4,322.7,309
86,about,JW20,C,336.5,322.75,309
89,about,JW20,C,309,295.25,281.5
90,about,JW20,C,233.5,219.75,206
94,about,JW20,C,322.7,308.95,295.2
95,about,JW20,C,309,295.25,281.5
96,about,JW21,C,254,243.7,233.4
97,about,JW21,C,226.6,212.85,199.1
99,about,JW21,C,329.6,315.85,302.1
100,about,JW21,C,336.4,322.7,309
103,about,JW21,C,363.9,350.15,336.4
104,about,JW21,C,226.6,216.3,206
110,about,JW21,C,398.2,384.5,370.8
112,about,JW21,C,302.1,288.4,274.7
121,about,JW25,C,192.2,181.9,171.6
123,about,JW25,C,295.3,281.55,267.8
124,about,JW25,C,302.1,288.35,274.6
125,about,JW25,C,178.5,168.2,157.9
126,about,JW25,C,315.9,302.15,288.4
